2024-08-11 00:11:21.690 +03:00 [WRN] 'AddEntityFramework*' was called on the service provider, but 'UseInternalServiceProvider' wasn't called in the DbContext options configuration. Consider removing the 'AddEntityFramework*' call, as in most cases it's not needed and may cause conflicts with other products and services registered in the same service provider.
2024-08-11 00:38:59.360 +03:00 [WRN] No store type was specified for the decimal property 'PaymentAmount' on entity type 'User'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:38:59.556 +03:00 [WRN] No store type was specified for the decimal property 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:38:59.557 +03:00 [WRN] No store type was specified for the decimal property 'PaymentAmount' on entity type 'User'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:40:41.038 +03:00 [WRN] 'AddEntityFramework*' was called on the service provider, but 'UseInternalServiceProvider' wasn't called in the DbContext options configuration. Consider removing the 'AddEntityFramework*' call, as in most cases it's not needed and may cause conflicts with other products and services registered in the same service provider.
2024-08-11 00:40:41.527 +03:00 [WRN] No store type was specified for the decimal property 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:40:41.528 +03:00 [WRN] No store type was specified for the decimal property 'PaymentAmount' on entity type 'User'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:40:41.716 +03:00 [WRN] No store type was specified for the decimal property 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:40:41.718 +03:00 [WRN] No store type was specified for the decimal property 'PaymentAmount' on entity type 'User'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:41:05.595 +03:00 [WRN] 'AddEntityFramework*' was called on the service provider, but 'UseInternalServiceProvider' wasn't called in the DbContext options configuration. Consider removing the 'AddEntityFramework*' call, as in most cases it's not needed and may cause conflicts with other products and services registered in the same service provider.
2024-08-11 00:41:06.088 +03:00 [WRN] No store type was specified for the decimal property 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:41:06.089 +03:00 [WRN] No store type was specified for the decimal property 'PaymentAmount' on entity type 'User'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:41:06.483 +03:00 [WRN] No store type was specified for the decimal property 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:41:06.484 +03:00 [WRN] No store type was specified for the decimal property 'PaymentAmount' on entity type 'User'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2024-08-11 00:41:06.786 +03:00 [INF] Executed DbCommand (236ms) [Parameters=[], CommandType='"Text"', CommandTimeout='60']
CREATE DATABASE [abyKhedma];
2024-08-11 00:41:06.848 +03:00 [INF] Executed DbCommand (59ms) [Parameters=[], CommandType='"Text"', CommandTimeout='60']
IF SERVERPROPERTY('EngineEdition') <> 5
BEGIN
    ALTER DATABASE [abyKhedma] SET READ_COMMITTED_SNAPSHOT ON;
END;
2024-08-11 00:41:06.869 +03:00 [INF] Executed DbCommand (8ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT 1
2024-08-11 00:41:06.935 +03:00 [INF] Executed DbCommand (7ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [__EFMigrationsHistory] (
    [MigrationId] nvarchar(150) NOT NULL,
    [ProductVersion] nvarchar(32) NOT NULL,
    CONSTRAINT [PK___EFMigrationsHistory] PRIMARY KEY ([MigrationId])
);
2024-08-11 00:41:06.936 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT 1
2024-08-11 00:41:06.966 +03:00 [INF] Executed DbCommand (27ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT OBJECT_ID(N'[__EFMigrationsHistory]');
2024-08-11 00:41:06.971 +03:00 [INF] Executed DbCommand (3ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
SELECT [MigrationId], [ProductVersion]
FROM [__EFMigrationsHistory]
ORDER BY [MigrationId];
2024-08-11 00:41:06.986 +03:00 [INF] Applying migration '20240810214041_Initalmigrate'.
2024-08-11 00:41:07.075 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Categories] (
    [Id] int NOT NULL IDENTITY,
    [CategoryName] nvarchar(150) NOT NULL,
    [Description] nvarchar(250) NULL,
    [OpeningStatementId] int NULL,
    [ClosingStatementId] int NULL,
    [Url] nvarchar(400) NULL,
    [UrlPublicId] nvarchar(30) NULL,
    [ParentCategoryId] int NULL,
    [HasChilds] bit NULL,
    [IsSystem] bit NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_Categories] PRIMARY KEY ([Id])
);
2024-08-11 00:41:07.076 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Files] (
    [PublicId] nvarchar(30) NOT NULL,
    [Url] nvarchar(200) NOT NULL,
    [FileType] int NOT NULL,
    CONSTRAINT [PK_Files] PRIMARY KEY ([PublicId])
);
2024-08-11 00:41:07.190 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [RequestStatusStats] (
    [Description] nvarchar(max) NOT NULL,
    [Key] nvarchar(max) NOT NULL,
    [Value] int NOT NULL,
    [Field1] nvarchar(max) NULL,
    [Field2] nvarchar(max) NULL,
    [Field3] nvarchar(max) NULL,
    [Field4] nvarchar(max) NULL
);
2024-08-11 00:41:07.192 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Statements] (
    [Id] int NOT NULL IDENTITY,
    [StatementText] nvarchar(200) NOT NULL,
    [StatemenType] int NOT NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_Statements] PRIMARY KEY ([Id])
);
2024-08-11 00:41:07.193 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [StatusLookup] (
    [Id] int NOT NULL IDENTITY,
    [Title] nvarchar(100) NOT NULL,
    [StatusType] int NOT NULL,
    CONSTRAINT [PK_StatusLookup] PRIMARY KEY ([Id])
);
2024-08-11 00:41:07.195 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Users] (
    [Id] int NOT NULL IDENTITY,
    [PhoneNumber] nvarchar(25) NULL,
    [UserName] nvarchar(25) NULL,
    [Email] nvarchar(50) NULL,
    [FirstName] nvarchar(25) NULL,
    [FamilyName] nvarchar(25) NULL,
    [FullName] nvarchar(60) NULL,
    [PhotoUrl] nvarchar(400) NULL,
    [IsActive] bit NULL,
    [PasswordHash] varbinary(max) NULL,
    [PasswordSalt] varbinary(max) NULL,
    [Role] nvarchar(15) NULL,
    [PassCode] nvarchar(10) NULL,
    [PassCodeExpiry] datetime2 NOT NULL,
    [LastLoginTime] datetime2 NULL,
    [UrlPublicId] nvarchar(30) NULL,
    [RefreshToken] nvarchar(100) NULL,
    [Subscription] int NULL,
    [SubscriptionStartDate] datetime2 NULL,
    [SubscriptionEndDate] datetime2 NULL,
    [PaymentAmount] decimal(18,2) NULL,
    [PaymentReceiptUrl] nvarchar(400) NULL,
    [PaymentReceiptUrlPublicId] nvarchar(30) NULL,
    [DeviceToken] nvarchar(255) NULL,
    [PasscodeResendTryCount] int NULL,
    [LoginFailureCount] int NULL,
    [MsgProvider] nvarchar(max) NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_Users] PRIMARY KEY ([Id])
);
2024-08-11 00:41:08.811 +03:00 [INF] Executed DbCommand (3ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Reels] (
    [Id] int NOT NULL IDENTITY,
    [CategoryId] int NOT NULL,
    [Url] nvarchar(400) NOT NULL,
    [UrlPublicId] nvarchar(30) NOT NULL,
    [FileType] int NOT NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_Reels] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_Reels_Categories_CategoryId] FOREIGN KEY ([CategoryId]) REFERENCES [Categories] ([Id]) ON DELETE CASCADE
);
2024-08-11 00:41:08.814 +03:00 [INF] Executed DbCommand (3ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Services] (
    [Id] int NOT NULL IDENTITY,
    [ServiceName] nvarchar(150) NOT NULL,
    [IsActive] bit NOT NULL,
    [CategoryID] int NOT NULL,
    [Price] decimal(18,2) NOT NULL,
    [IsSystem] bit NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_Services] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_Services_Categories_CategoryID] FOREIGN KEY ([CategoryID]) REFERENCES [Categories] ([Id]) ON DELETE CASCADE
);
2024-08-11 00:41:10.968 +03:00 [INF] Executed DbCommand (6ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [AuditLogs] (
    [Id] int NOT NULL IDENTITY,
    [UserId] int NOT NULL,
    [ActivityDescription] nvarchar(max) NOT NULL,
    [ActivityTime] datetime2 NOT NULL,
    CONSTRAINT [PK_AuditLogs] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_AuditLogs_Users_UserId] FOREIGN KEY ([UserId]) REFERENCES [Users] ([Id]) ON DELETE CASCADE
);
2024-08-11 00:41:10.973 +03:00 [INF] Executed DbCommand (5ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [RequestAudits] (
    [Id] int NOT NULL IDENTITY,
    [RequestId] int NOT NULL,
    [StatusId] int NOT NULL,
    [EmployeeId] int NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_RequestAudits] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_RequestAudits_StatusLookup_StatusId] FOREIGN KEY ([StatusId]) REFERENCES [StatusLookup] ([Id]) ON DELETE CASCADE,
    CONSTRAINT [FK_RequestAudits_Users_EmployeeId] FOREIGN KEY ([EmployeeId]) REFERENCES [Users] ([Id])
);
2024-08-11 00:41:10.976 +03:00 [INF] Executed DbCommand (3ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [UserNotifications] (
    [Id] int NOT NULL IDENTITY,
    [IsRead] bit NOT NULL,
    [Message] nvarchar(max) NOT NULL,
    [UserId] int NOT NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_UserNotifications] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_UserNotifications_Users_UserId] FOREIGN KEY ([UserId]) REFERENCES [Users] ([Id]) ON DELETE CASCADE
);
2024-08-11 00:41:12.095 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Requests] (
    [Id] int NOT NULL IDENTITY,
    [ServiceId] int NOT NULL,
    [RequesterId] int NOT NULL,
    [StatusId] int NOT NULL,
    [AssignedEmployeeId] int NULL,
    [IsLockedToDateTime] datetime2 NULL,
    [Description] nvarchar(255) NULL,
    [IsShowedByTheEmployee] bit NULL,
    [IsShowedByTheRequester] bit NULL,
    [IsArchived] bit NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_Requests] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_Requests_Services_ServiceId] FOREIGN KEY ([ServiceId]) REFERENCES [Services] ([Id]) ON DELETE CASCADE,
    CONSTRAINT [FK_Requests_StatusLookup_StatusId] FOREIGN KEY ([StatusId]) REFERENCES [StatusLookup] ([Id]) ON DELETE CASCADE,
    CONSTRAINT [FK_Requests_Users_AssignedEmployeeId] FOREIGN KEY ([AssignedEmployeeId]) REFERENCES [Users] ([Id]),
    CONSTRAINT [FK_Requests_Users_RequesterId] FOREIGN KEY ([RequesterId]) REFERENCES [Users] ([Id]) ON DELETE CASCADE
);
2024-08-11 00:41:13.418 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Requirements] (
    [Id] int NOT NULL IDENTITY,
    [ServiceID] int NOT NULL,
    [Description] nvarchar(160) NOT NULL,
    [StepOrder] int NOT NULL,
    [RequirementType] int NOT NULL,
    [Url] nvarchar(450) NULL,
    [IsSystem] bit NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_Requirements] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_Requirements_Services_ServiceID] FOREIGN KEY ([ServiceID]) REFERENCES [Services] ([Id]) ON DELETE CASCADE
);
2024-08-11 00:41:13.420 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [RequestFlows] (
    [Id] int NOT NULL IDENTITY,
    [RequestId] int NOT NULL,
    [RequirementId] int NULL,
    [EmployeeId] int NULL,
    [Status] int NOT NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_RequestFlows] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_RequestFlows_Requests_RequestId] FOREIGN KEY ([RequestId]) REFERENCES [Requests] ([Id]) ON DELETE CASCADE,
    CONSTRAINT [FK_RequestFlows_Users_EmployeeId] FOREIGN KEY ([EmployeeId]) REFERENCES [Users] ([Id])
);
2024-08-11 00:41:13.421 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Answers] (
    [Id] int NOT NULL IDENTITY,
    [Description] nvarchar(150) NOT NULL,
    [IsTerminationAnswer] bit NULL,
    [TerminationStatement] nvarchar(200) NULL,
    [HasSubAnswerRequirement] int NULL,
    [SubAnswerRequirementId] int NULL,
    [RequirementId] int NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_Answers] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_Answers_Requirements_RequirementId] FOREIGN KEY ([RequirementId]) REFERENCES [Requirements] ([Id])
);
2024-08-11 00:41:14.703 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [ChatMessages] (
    [Id] int NOT NULL IDENTITY,
    [RequestFlowId] int NOT NULL,
    [FromUserId] int NULL,
    [ToUserId] int NULL,
    [Url] nvarchar(400) NULL,
    [UrlPublicId] nvarchar(50) NULL,
    [IsRead] int NOT NULL,
    [AnswerId] int NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_ChatMessages] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_ChatMessages_Answers_AnswerId] FOREIGN KEY ([AnswerId]) REFERENCES [Answers] ([Id])
);
2024-08-11 00:41:14.705 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [SubAnswerRequirements] (
    [Id] int NOT NULL IDENTITY,
    [ServiceID] int NOT NULL,
    [Description] nvarchar(150) NOT NULL,
    [StepOrder] int NOT NULL,
    [RequirementType] int NOT NULL,
    [Url] nvarchar(max) NULL,
    [AnswerId] int NOT NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_SubAnswerRequirements] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_SubAnswerRequirements_Answers_AnswerId] FOREIGN KEY ([AnswerId]) REFERENCES [Answers] ([Id]) ON DELETE CASCADE,
    CONSTRAINT [FK_SubAnswerRequirements_Services_ServiceID] FOREIGN KEY ([ServiceID]) REFERENCES [Services] ([Id]) ON DELETE CASCADE
);
2024-08-11 00:41:16.355 +03:00 [INF] Executed DbCommand (3ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE TABLE [Messages] (
    [Id] int NOT NULL IDENTITY,
    [MessageType] int NOT NULL,
    [Content] nvarchar(400) NOT NULL,
    [ChatMessageId] int NOT NULL,
    [CreatedBy] int NOT NULL,
    [CreatedDate] datetime2 NOT NULL,
    [UpdatedBy] int NOT NULL,
    [UpdatedDate] datetime2 NOT NULL,
    [Deleted] bit NULL,
    CONSTRAINT [PK_Messages] PRIMARY KEY ([Id]),
    CONSTRAINT [FK_Messages_ChatMessages_ChatMessageId] FOREIGN KEY ([ChatMessageId]) REFERENCES [ChatMessages] ([Id]) ON DELETE CASCADE
);
2024-08-11 00:41:16.358 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Answers_RequirementId] ON [Answers] ([RequirementId]);
2024-08-11 00:41:16.359 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Answers_SubAnswerRequirementId] ON [Answers] ([SubAnswerRequirementId]);
2024-08-11 00:41:16.360 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_AuditLogs_UserId] ON [AuditLogs] ([UserId]);
2024-08-11 00:41:16.361 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_ChatMessages_AnswerId] ON [ChatMessages] ([AnswerId]);
2024-08-11 00:41:16.363 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Messages_ChatMessageId] ON [Messages] ([ChatMessageId]);
2024-08-11 00:41:17.817 +03:00 [INF] Executed DbCommand (5ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Reels_CategoryId] ON [Reels] ([CategoryId]);
2024-08-11 00:41:17.819 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_RequestAudits_EmployeeId] ON [RequestAudits] ([EmployeeId]);
2024-08-11 00:41:17.822 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_RequestAudits_StatusId] ON [RequestAudits] ([StatusId]);
2024-08-11 00:41:17.824 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_RequestFlows_EmployeeId] ON [RequestFlows] ([EmployeeId]);
2024-08-11 00:41:17.827 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_RequestFlows_RequestId] ON [RequestFlows] ([RequestId]);
2024-08-11 00:41:17.829 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Requests_AssignedEmployeeId] ON [Requests] ([AssignedEmployeeId]);
2024-08-11 00:41:17.832 +03:00 [INF] Executed DbCommand (3ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Requests_RequesterId] ON [Requests] ([RequesterId]);
2024-08-11 00:41:17.835 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Requests_ServiceId] ON [Requests] ([ServiceId]);
2024-08-11 00:41:17.837 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Requests_StatusId] ON [Requests] ([StatusId]);
2024-08-11 00:41:17.839 +03:00 [INF] Executed DbCommand (2ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Requirements_ServiceID] ON [Requirements] ([ServiceID]);
2024-08-11 00:41:18.690 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_Services_CategoryID] ON [Services] ([CategoryID]);
2024-08-11 00:41:18.691 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE UNIQUE INDEX [IX_SubAnswerRequirements_AnswerId] ON [SubAnswerRequirements] ([AnswerId]);
2024-08-11 00:41:18.691 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_SubAnswerRequirements_ServiceID] ON [SubAnswerRequirements] ([ServiceID]);
2024-08-11 00:41:18.692 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
CREATE INDEX [IX_UserNotifications_UserId] ON [UserNotifications] ([UserId]);
2024-08-11 00:41:18.694 +03:00 [INF] Executed DbCommand (1ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
ALTER TABLE [Answers] ADD CONSTRAINT [FK_Answers_SubAnswerRequirements_SubAnswerRequirementId] FOREIGN KEY ([SubAnswerRequirementId]) REFERENCES [SubAnswerRequirements] ([Id]);
2024-08-11 00:41:18.698 +03:00 [INF] Executed DbCommand (4ms) [Parameters=[], CommandType='"Text"', CommandTimeout='30']
INSERT INTO [__EFMigrationsHistory] ([MigrationId], [ProductVersion])
VALUES (N'20240810214041_Initalmigrate', N'7.0.13');
2024-08-11 00:43:24.996 +03:00 [INF] User profile is available. Using 'C:\Users\abdal\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2024-08-11 00:43:25.439 +03:00 [INF] Application started. Press Ctrl+C to shut down.
2024-08-11 00:43:25.444 +03:00 [INF] Hosting environment: Development
2024-08-11 00:43:25.446 +03:00 [INF] Content root path: G:\AbyKhedmaApi-master\AbyKhedmaApi-master\AbyKhedma
2024-08-11 00:43:25.506 +03:00 [INF] Request starting HTTP/2 GET https://localhost:44305/swagger/index.html - -
2024-08-11 00:43:26.726 +03:00 [INF] Request finished HTTP/2 GET https://localhost:44305/swagger/index.html - - - 200 - text/html;charset=utf-8 1221.0397ms
2024-08-11 00:43:26.826 +03:00 [INF] Request starting HTTP/2 GET https://localhost:44305/_vs/browserLink - -
2024-08-11 00:43:26.827 +03:00 [INF] Request starting HTTP/2 GET https://localhost:44305/_framework/aspnetcore-browser-refresh.js - -
2024-08-11 00:43:26.846 +03:00 [INF] Request finished HTTP/2 GET https://localhost:44305/_framework/aspnetcore-browser-refresh.js - - - 200 13754 application/javascript;+charset=utf-8 17.3830ms
2024-08-11 00:43:26.945 +03:00 [INF] Request finished HTTP/2 GET https://localhost:44305/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 119.2319ms
2024-08-11 00:43:27.000 +03:00 [INF] Request starting HTTP/2 GET https://localhost:44305/swagger/v1/swagger.json - -
2024-08-11 00:43:27.366 +03:00 [INF] Request finished HTTP/2 GET https://localhost:44305/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 365.3862ms
2024-08-11 00:45:03.044 +03:00 [INF] Request starting HTTP/2 POST https://localhost:44305/api/Account/register application/json 151
2024-08-11 00:45:03.060 +03:00 [INF] CORS policy execution failed.
2024-08-11 00:45:03.060 +03:00 [INF] Request origin https://localhost:44305 does not have permission to access the resource.
2024-08-11 00:45:03.066 +03:00 [INF] Executing endpoint 'AbyKhedma.Controllers.AccountController.Register (AbyKhedma)'
2024-08-11 00:45:03.102 +03:00 [INF] Route matched with {action = "Register", controller = "Account"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] Register(AbyKhedma.Dtos.RequesterUserForRegisterDto) on controller AbyKhedma.Controllers.AccountController (AbyKhedma).
2024-08-11 00:45:03.204 +03:00 [WRN] 'AddEntityFramework*' was called on the service provider, but 'UseInternalServiceProvider' wasn't called in the DbContext options configuration. Consider removing the 'AddEntityFramework*' call, as in most cases it's not needed and may cause conflicts with other products and services registered in the same service provider.
2024-08-11 00:45:04.264 +03:00 [WRN] No store type was specified for the decimal property 'Price' on entity type 'Service'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
